Y,M,D,Q
2001,6,25,61.73297756
2001,6,26,63.43205034
2001,6,27,61.16661997
2001,6,28,63.99840793
2001,6,29,64.28158673
2001,6,30,63.99840793
2001,7,1,64.56476552
2001,7,2,64.56476552
2001,7,3,64.56476552
2001,7,4,63.43205034
2001,7,5,66.83019589
2001,7,6,67.96291108
2001,7,7,67.96291108
2001,7,8,67.11337469
2001,7,9,69.66198385
2001,7,10,66.5470171
2001,7,11,58.05165321
2001,7,12,58.9011896
2001,7,13,59.1843684
2001,7,14,57.76847442
2001,7,15,59.1843684
2001,7,16,58.05165321
2001,7,17,58.33483201
2001,7,18,58.9011896
2001,7,19,59.1843684
2001,7,20,56.91893803
2001,7,21,57.48529562
2001,7,22,58.9011896
2001,7,23,57.76847442
2001,7,24,58.6180108
2001,7,25,59.1843684
2001,7,26,57.48529562
2001,7,27,58.05165321
2001,7,28,60.03390479
2001,7,29,60.03390479
2001,7,30,62.01615636
2001,7,31,60.03390479
2001,8,1,62.86569275
2001,8,2,64.28158673
2001,8,3,63.14887154
2001,8,4,62.86569275
2001,8,5,63.99840793
2001,8,6,63.14887154
2001,8,7,62.86569275
2001,8,8,62.86569275
2001,8,9,62.86569275
2001,8,10,63.14887154
2001,8,11,63.99840793
2001,8,12,63.71522914
2001,8,13,61.73297756
2001,8,14,63.14887154
2001,8,15,63.43205034
2001,8,16,63.14887154
2001,8,17,62.01615636
2001,8,18,60.60026238
2001,8,19,62.58251395
2001,8,20,60.31708358
2001,8,21,61.16661997
2001,8,22,57.20211682
2001,8,23,54.08715007
2001,8,24,55.78622284
2001,8,25,53.80397127
2001,8,26,53.80397127
2001,8,27,53.80397127
2001,8,28,53.23761368
2001,8,29,51.2553621
2001,8,30,50.12264692
2001,8,31,51.2553621
2001,9,1,50.97218331
2001,9,2,51.5385409
2001,9,3,50.40582572
2001,9,4,49.27311053
2001,9,5,48.14039535
2001,9,6,45.87496498
2001,9,7,43.8927134
2001,9,8,41.62728304
2001,9,9,38.79549507
2001,9,10,39.64503146
2001,9,11,38.22913748
2001,9,12,36.8132435
2001,9,13,36.5300647
2001,9,14,35.39734952
2001,9,15,31.14966758
2001,9,16,31.14966758
2001,9,17,30.30013119
2001,9,18,31.43284637
2001,9,19,31.14966758
2001,9,20,28.60105841
2001,9,21,27.41170747
2001,9,22,29.167416
2001,9,23,25.76927045
2001,9,24,27.04357503
2001,9,25,26.33562804
2001,9,26,27.27011807
2001,9,27,26.02413137
2001,9,28,26.02413137
2001,9,29,26.02413137
2001,9,30,26.3922638
2001,10,1,26.84534988
2001,10,2,25.59936317
2001,10,3,25.71263469
2001,10,4,26.78871412
2001,10,5,25.59936317
2001,10,6,25.03300558
2001,10,7,24.8630983
2001,10,8,24.07019767
2001,10,9,24.24010495
2001,10,10,24.66487315
2001,10,11,26.59048896
2001,10,12,26.61880684
2001,10,13,24.41001223
2001,10,14,24.63655527
2001,10,15,25.0046877
2001,10,16,23.50384008
2001,10,17,23.78701888
2001,10,18,24.43833011
2001,10,19,24.52328375
2001,10,20,24.21178707
2001,10,21,24.15515131
2001,10,22,24.24010495
2001,10,23,24.26842283
2001,10,24,24.21178707
2001,10,25,23.50384008
2001,10,26,21.21009183
2001,10,27,21.52158851
2001,10,28,22.0879461
2001,10,29,22.14458186
2001,10,30,22.11626398
2001,10,31,26.30731016
2001,11,1,24.24010495
2001,11,2,22.56935005
2001,11,3,22.51271429
2001,11,4,22.51271429
2001,11,5,22.3711249
2001,11,6,22.88084673
2001,11,7,23.44720432
2001,11,8,23.4755222
2001,11,9,22.79589309
2001,11,10,22.28617126
2001,11,11,22.48439641
2001,11,12,22.88084673
2001,11,13,22.65430369
2001,11,14,22.54103217
2001,11,15,22.73925733
2001,11,16,22.76757521
2001,11,17,22.76757521
2001,11,18,23.22066128
2001,11,19,23.41888644
2001,11,20,22.71093945
2001,11,21,22.79589309
2001,11,22,26.42058168
2001,11,23,23.19234341
2001,11,24,24.57991951
2001,11,25,23.24897916
2001,11,26,23.39056856
